reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.N=1
param.gamma=0.001
iter=24, primal_obj=3994.24, best_primal_obj=3994.24, dual_obj=22643.2, relaxed_primal=22776.1, relaxed_dual=22643.3, grad_l2=10.9269, infea_inf(ratio=max/min)=e^(120), int_gap=657.989, pow_l1=4.70912e+10, time=45.4486
iter=25, primal_obj=2196.23, best_primal_obj=3994.24, dual_obj=22637.1, relaxed_primal=22841.7, relaxed_dual=22637.2, grad_l2=11.3182, infea_inf(ratio=max/min)=e^(120.055), int_gap=660.983, pow_l1=4.76791e+10, time=47.031
iter=26, primal_obj=3216.65, best_primal_obj=3994.24, dual_obj=22622.7, relaxed_primal=22812, relaxed_dual=22622.8, grad_l2=10.8406, infea_inf(ratio=max/min)=e^(120.006), int_gap=656.882, pow_l1=4.83025e+10, time=48.6016
iter=27, primal_obj=2865.88, best_primal_obj=3994.24, dual_obj=22615.2, relaxed_primal=22782.8, relaxed_dual=22615.3, grad_l2=11.3653, infea_inf(ratio=max/min)=e^(120.045), int_gap=659.053, pow_l1=4.88761e+10, time=50.1854
iter=28, primal_obj=2999.95, best_primal_obj=3994.24, dual_obj=22604.9, relaxed_primal=22810.8, relaxed_dual=22605, grad_l2=11.2975, infea_inf(ratio=max/min)=e^(120.162), int_gap=665.179, pow_l1=4.95062e+10, time=51.7811
iter=29, primal_obj=3131.82, best_primal_obj=3994.24, dual_obj=22597, relaxed_primal=22817.7, relaxed_dual=22597.1, grad_l2=10.8983, infea_inf(ratio=max/min)=e^(120.1), int_gap=660.154, pow_l1=5.00819e+10, time=53.3799
iter=30, primal_obj=3685.08, best_primal_obj=3994.24, dual_obj=22583.2, relaxed_primal=22779.4, relaxed_dual=22583.3, grad_l2=11.0228, infea_inf(ratio=max/min)=e^(120), int_gap=658, pow_l1=5.06825e+10, time=54.9028
iter=31, primal_obj=2585.88, best_primal_obj=3994.24, dual_obj=22578.5, relaxed_primal=22780.3, relaxed_dual=22578.6, grad_l2=11.048, infea_inf(ratio=max/min)=e^(120.019), int_gap=664.626, pow_l1=5.12865e+10, time=56.4294
iter=32, primal_obj=2488.67, best_primal_obj=3994.24, dual_obj=22566.5, relaxed_primal=22798.7, relaxed_dual=22566.6, grad_l2=11.2392, infea_inf(ratio=max/min)=e^(120.002), int_gap=658.416, pow_l1=5.18983e+10, time=57.9907
iter=33, primal_obj=2987.53, best_primal_obj=3994.24, dual_obj=22559.3, relaxed_primal=22770.6, relaxed_dual=22559.5, grad_l2=11.3315, infea_inf(ratio=max/min)=e^(120.01), int_gap=661.01, pow_l1=5.25068e+10, time=59.5773
