reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.avg_domain_size=154.378
prob.N=1
param.rho=1
param.eta=1
@0: T=37, n=15506754, nf=0, m=0, me=205669
iter=155, #inner=363, relaxed-p-obj=13651.16, decoded_t=9792.443, best_decoded=10194.21, eta=1, p_inf=0.31, d_inf=0.00068, gap=0.14, nnz=38176(0.0028), time=7.3e+02
iter=160, #inner=361, relaxed-p-obj=13648.15, decoded_t=9792.443, best_decoded=10194.21, eta=1, p_inf=0.31, d_inf=0.0073, gap=0.14, nnz=37682(0.0027), time=7.5e+02
iter=165, #inner=359, relaxed-p-obj=13690.75, decoded_t=9860.933, best_decoded=10194.21, eta=1, p_inf=0.31, d_inf=0.0027, gap=0.14, nnz=38263(0.0028), time=7.8e+02
iter=170, #inner=358, relaxed-p-obj=13789.96, decoded_t=9860.933, best_decoded=10194.21, eta=1, p_inf=0.31, d_inf=0.0043, gap=0.13, nnz=38065(0.0028), time=8e+02
iter=175, #inner=355, relaxed-p-obj=13858.13, decoded_t=9860.933, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.0073, gap=0.12, nnz=38722(0.0028), time=8.2e+02
iter=180, #inner=349, relaxed-p-obj=13885.53, decoded_t=9850.924, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.005, gap=0.12, nnz=39626(0.0029), time=8.5e+02
iter=185, #inner=343, relaxed-p-obj=13878.24, decoded_t=9850.924, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.0072, gap=0.12, nnz=40025(0.0029), time=8.7e+02
iter=190, #inner=338, relaxed-p-obj=13879.45, decoded_t=9968.915, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.00095, gap=0.11, nnz=40868(0.003), time=9e+02
iter=195, #inner=336, relaxed-p-obj=13885.18, decoded_t=9796.576, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.00054, gap=0.11, nnz=40921(0.003), time=9.2e+02
iter=200, #inner=336, relaxed-p-obj=13901.89, decoded_t=9884.651, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.0026, gap=0.11, nnz=41135(0.003), time=9.4e+02
iter=205, #inner=329, relaxed-p-obj=13941.37, decoded_t=9884.651, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.0015, gap=0.1, nnz=41821(0.003), time=9.7e+02
iter=210, #inner=327, relaxed-p-obj=13931.17, decoded_t=9884.651, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.0033, gap=0.1, nnz=41862(0.003), time=9.9e+02
iter=215, #inner=328, relaxed-p-obj=13915.2, decoded_t=9884.651, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.0015, gap=0.1, nnz=41994(0.0031), time=1e+03
iter=220, #inner=325, relaxed-p-obj=13900.63, decoded_t=9884.651, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.0044, gap=0.1, nnz=42445(0.0031), time=1e+03
