TRWS  Tests ...
loading .h5 file ../../../data//2BBN.uai.h5................done
algorithm constructing...
algorithm starting...
best_value=11590.5, lower_bound=-12614.4, time=7.23145
best_value=11590.5, lower_bound=-12611.8, time=7.29147
best_value=11590.5, lower_bound=-12609.2, time=7.35149
best_value=11590.5, lower_bound=-12606.6, time=7.41141
best_value=11590.5, lower_bound=-12604, time=7.47128
best_value=11590.5, lower_bound=-12601.5, time=7.53162
best_value=11590.5, lower_bound=-12599, time=7.59153
best_value=11590.5, lower_bound=-12596.5, time=7.65169
best_value=11590.5, lower_bound=-12594, time=7.71146
best_value=11590.5, lower_bound=-12591.6, time=7.7723
best_value=11590.5, lower_bound=-12589.1, time=7.83218
best_value=11590.5, lower_bound=-12586.7, time=7.89205
best_value=11590.5, lower_bound=-12584.3, time=7.95221
best_value=11590.5, lower_bound=-12582, time=8.01232
best_value=11590.5, lower_bound=-12579.6, time=8.07297
best_value=11590.5, lower_bound=-12577.6, time=8.13346
best_value=11590.5, lower_bound=-12575.9, time=8.19394
best_value=11590.5, lower_bound=-12574.2, time=8.25404
best_value=11590.5, lower_bound=-12572.6, time=8.31362
best_value=11590.5, lower_bound=-12570.9, time=8.37423
best_value=11590.5, lower_bound=-12569.3, time=8.43442
best_value=11590.5, lower_bound=-12567.7, time=8.49559
best_value=11590.5, lower_bound=-12566.1, time=8.55585
best_value=11590.5, lower_bound=-12564.5, time=8.61593
best_value=11590.5, lower_bound=-12563, time=8.67631
best_value=11590.5, lower_bound=-12561.4, time=8.73618
best_value=11590.5, lower_bound=-12559.9, time=8.79617
best_value=11590.5, lower_bound=-12558.4, time=8.85615
best_value=11590.5, lower_bound=-12556.9, time=8.91613
best_value=11593.5, lower_bound=-12555.4, time=8.97604
best_value=11593.5, lower_bound=-12554, time=9.03662
best_value=11593.5, lower_bound=-12552.5, time=9.09799
best_value=11593.5, lower_bound=-12551.1, time=9.15791
best_value=11593.5, lower_bound=-12549.7, time=9.21823
best_value=11593.5, lower_bound=-12548.4, time=9.29569
best_value=11593.5, lower_bound=-12547.1, time=9.35607
best_value=11593.5, lower_bound=-12545.8, time=9.41606
best_value=11593.5, lower_bound=-12544.5, time=9.47628
best_value=11593.5, lower_bound=-12543.3, time=9.537
best_value=11593.5, lower_bound=-12542.1, time=9.59797
best_value=11593.5, lower_bound=-12540.9, time=9.6579
best_value=11593.5, lower_bound=-12539.8, time=9.71763
best_value=11593.5, lower_bound=-12538.6, time=9.77782
best_value=11593.5, lower_bound=-12537.6, time=9.83817
best_value=11593.5, lower_bound=-12536.5, time=9.89794
best_value=11593.5, lower_bound=-12535.5, time=9.95823
best_value=11593.5, lower_bound=-12534.7, time=10.0178
best_value=11593.5, lower_bound=-12533.9, time=10.0783
best_value=11593.5, lower_bound=-12533, time=10.139
best_value=11593.5, lower_bound=-12532.2, time=10.1989
best_value=11593.5, lower_bound=-12531.4, time=10.2587
best_value=11593.5, lower_bound=-12530.6, time=10.319
best_value=11593.5, lower_bound=-12529.9, time=10.3787
best_value=11593.5, lower_bound=-12529.1, time=10.439
best_value=11593.5, lower_bound=-12528.3, time=10.4991
best_value=11593.5, lower_bound=-12527.5, time=10.5597
best_value=11593.5, lower_bound=-12526.8, time=10.6197
best_value=11626, lower_bound=-12526, time=10.6796
best_value=11626, lower_bound=-12525.3, time=10.7403
best_value=11626, lower_bound=-12524.6, time=10.8004
best_value=11626, lower_bound=-12523.9, time=10.8606
best_value=11626, lower_bound=-12523.3, time=10.9206
best_value=11626, lower_bound=-12522.6, time=10.9804
best_value=11626, lower_bound=-12522, time=11.0407
best_value=11626, lower_bound=-12521.4, time=11.1005
best_value=11626, lower_bound=-12520.7, time=11.1601
best_value=11626, lower_bound=-12520.1, time=11.22
best_value=11626, lower_bound=-12519.5, time=11.2802
best_value=11626, lower_bound=-12518.9, time=11.3401
best_value=11626, lower_bound=-12518.3, time=11.3999
best_value=11626, lower_bound=-12517.7, time=11.4602
best_value=11626, lower_bound=-12517.1, time=11.5199
best_value=11626, lower_bound=-12516.5, time=11.5805
best_value=11626, lower_bound=-12515.9, time=11.6401
best_value=11626, lower_bound=-12515.4, time=11.6999
best_value=11626, lower_bound=-12514.8, time=11.76
best_value=11626, lower_bound=-12514.2, time=11.8201
best_value=11626, lower_bound=-12513.7, time=11.8802
best_value=11626, lower_bound=-12513.2, time=11.9403
best_value=11626, lower_bound=-12512.7, time=11.9997
best_value=11626, lower_bound=-12512.2, time=12.0606
best_value=11626, lower_bound=-12511.7, time=12.1204
best_value=11626, lower_bound=-12511.3, time=12.1806
best_value=11626, lower_bound=-12510.8, time=12.2407
best_value=11626, lower_bound=-12510.3, time=12.3004
best_value=11626, lower_bound=-12509.9, time=12.3607
best_value=11626, lower_bound=-12509.4, time=12.4203
best_value=11626, lower_bound=-12509, time=12.4806
best_value=11626, lower_bound=-12508.5, time=12.5406
best_value=11626, lower_bound=-12508, time=12.601
best_value=11626, lower_bound=-12507.6, time=12.661
best_value=11626, lower_bound=-12507.1, time=12.7212
best_value=11626, lower_bound=-12506.7, time=12.7812
best_value=11626, lower_bound=-12506.2, time=12.8414
best_value=11626, lower_bound=-12505.8, time=12.9013
best_value=11626, lower_bound=-12505.3, time=12.9612
best_value=11626, lower_bound=-12504.9, time=13.0211
best_value=11626, lower_bound=-12504.4, time=13.0813
best_value=11626, lower_bound=-12504, time=13.1411
best_value=11626, lower_bound=-12503.5, time=13.2013
best_value=11626, lower_bound=-12503.1, time=13.2612
best_value=11626, lower_bound=-12502.6, time=13.3214
best_value=11626, lower_bound=-12502.2, time=13.381
best_value=11626, lower_bound=-12501.8, time=13.4412
best_value=11626, lower_bound=-12501.3, time=13.5011
best_value=11626, lower_bound=-12500.9, time=13.5613
best_value=11626, lower_bound=-12500.5, time=13.6215
best_value=11626, lower_bound=-12500.1, time=13.6816
best_value=11626, lower_bound=-12499.7, time=13.7421
best_value=11626, lower_bound=-12499.3, time=13.8021
best_value=11626, lower_bound=-12499, time=13.8618
best_value=11626, lower_bound=-12498.6, time=13.9221
best_value=11626, lower_bound=-12498.2, time=13.982
best_value=11626, lower_bound=-12497.9, time=14.0418
best_value=11626, lower_bound=-12497.6, time=14.1016
best_value=11626, lower_bound=-12497.3, time=14.1616
best_value=11626, lower_bound=-12497, time=14.2213
best_value=11626, lower_bound=-12496.7, time=14.2815
best_value=11626, lower_bound=-12496.4, time=14.3412
best_value=11626, lower_bound=-12496.2, time=14.4016
best_value=11626, lower_bound=-12495.9, time=14.4616
best_value=11626, lower_bound=-12495.6, time=14.5216
best_value=11626, lower_bound=-12495.3, time=14.5821
best_value=11626, lower_bound=-12495, time=14.6419
best_value=11626, lower_bound=-12494.7, time=14.7017
best_value=11626, lower_bound=-12494.5, time=14.7615
best_value=11626, lower_bound=-12494.2, time=14.8219
best_value=11626, lower_bound=-12493.9, time=14.8815
best_value=11626, lower_bound=-12493.6, time=14.9416
best_value=11626, lower_bound=-12493.4, time=15.0018
best_value=11626, lower_bound=-12493.1, time=15.0796
best_value=11626, lower_bound=-12492.8, time=15.1396
best_value=11626, lower_bound=-12492.6, time=15.1994
best_value=11626, lower_bound=-12492.3, time=15.2594
best_value=11626, lower_bound=-12492, time=15.3198
best_value=11626, lower_bound=-12491.8, time=15.3801
best_value=11626, lower_bound=-12491.5, time=15.4402
best_value=11626, lower_bound=-12491.3, time=15.5004
best_value=11626, lower_bound=-12491, time=15.5604
best_value=11626, lower_bound=-12490.8, time=15.6201
best_value=11626, lower_bound=-12490.5, time=15.6802
best_value=11626, lower_bound=-12490.3, time=15.7405
best_value=11626, lower_bound=-12490, time=15.8008
best_value=11626, lower_bound=-12489.8, time=15.8608
best_value=11626, lower_bound=-12489.5, time=15.9205
best_value=11626, lower_bound=-12489.3, time=15.9804
best_value=11626, lower_bound=-12489, time=16.0399
best_value=11626, lower_bound=-12488.8, time=16.1005
best_value=11626, lower_bound=-12488.5, time=16.1605
best_value=11626, lower_bound=-12488.3, time=16.2204
best_value=11626, lower_bound=-12488, time=16.2806
best_value=11626, lower_bound=-12487.8, time=16.3402
best_value=11626, lower_bound=-12487.6, time=16.4001
best_value=11626, lower_bound=-12487.3, time=16.4603
best_value=11626, lower_bound=-12487.1, time=16.5202
best_value=11626, lower_bound=-12486.9, time=16.58
best_value=11626, lower_bound=-12486.6, time=16.6398
best_value=11626, lower_bound=-12486.4, time=16.7
best_value=11626, lower_bound=-12486.1, time=16.7596
best_value=11626, lower_bound=-12485.9, time=16.8197
best_value=11626, lower_bound=-12485.7, time=16.8793
best_value=11626, lower_bound=-12485.4, time=16.9393
best_value=11626, lower_bound=-12485.2, time=16.9994
best_value=11626, lower_bound=-12485, time=17.0591
best_value=11626, lower_bound=-12484.7, time=17.119
best_value=11626, lower_bound=-12484.5, time=17.1789
best_value=11626, lower_bound=-12484.3, time=17.2392
best_value=11626, lower_bound=-12484, time=17.2993
best_value=11626, lower_bound=-12483.8, time=17.359
best_value=11626, lower_bound=-12483.6, time=17.4192
best_value=11626, lower_bound=-12483.4, time=17.4792
best_value=11626, lower_bound=-12483.1, time=17.5395
best_value=11626, lower_bound=-12482.9, time=17.5992
best_value=11626, lower_bound=-12482.7, time=17.6597
best_value=11626, lower_bound=-12482.5, time=17.7197
best_value=11626, lower_bound=-12482.2, time=17.7799
best_value=11626, lower_bound=-12482, time=17.84
best_value=11626, lower_bound=-12481.8, time=17.8997
best_value=11626, lower_bound=-12481.6, time=17.96
best_value=11626, lower_bound=-12481.4, time=18.0199
best_value=11626, lower_bound=-12481.1, time=18.0796
best_value=11626, lower_bound=-12480.9, time=18.1399
best_value=11626, lower_bound=-12480.7, time=18.1996
best_value=11626, lower_bound=-12480.5, time=18.2603
best_value=11626, lower_bound=-12480.3, time=18.3205
best_value=11626, lower_bound=-12480.1, time=18.3802
best_value=11626, lower_bound=-12479.9, time=18.4399
best_value=11626, lower_bound=-12479.7, time=18.5001
best_value=11626, lower_bound=-12479.5, time=18.5599
best_value=11626, lower_bound=-12479.3, time=18.6198
best_value=11626, lower_bound=-12479.1, time=18.6799
best_value=11626, lower_bound=-12478.9, time=18.7399
best_value=11626, lower_bound=-12478.7, time=18.7999
best_value=11626, lower_bound=-12478.5, time=18.8601
best_value=11626, lower_bound=-12478.3, time=18.9201
best_value=11626, lower_bound=-12478.1, time=18.9804
best_value=11626, lower_bound=-12477.9, time=19.0402
best_value=11626, lower_bound=-12477.7, time=19.1001
best_value=11626, lower_bound=-12477.5, time=19.1602
best_value=11626, lower_bound=-12477.3, time=19.2197
best_value=11626, lower_bound=-12477.1, time=19.2801
best_value=11626, lower_bound=-12476.9, time=19.3398
best_value=11626, lower_bound=-12476.7, time=19.4
best_value=11626, lower_bound=-12476.5, time=19.4598
best_value=11626, lower_bound=-12476.3, time=19.5204
best_value=11626, lower_bound=-12476.1, time=19.5802
best_value=11626, lower_bound=-12475.9, time=19.64
best_value=11626, lower_bound=-12475.8, time=19.6999
best_value=11626, lower_bound=-12475.6, time=19.7598
best_value=11626, lower_bound=-12475.4, time=19.8195
best_value=11626, lower_bound=-12475.2, time=19.8796
best_value=11626, lower_bound=-12475, time=19.9401
best_value=11626, lower_bound=-12474.8, time=19.9999
best_value=11626, lower_bound=-12474.6, time=20.0601
best_value=11626, lower_bound=-12474.4, time=20.1204
best_value=11626, lower_bound=-12474.2, time=20.1806
best_value=11626, lower_bound=-12474.1, time=20.2404
best_value=11626, lower_bound=-12473.9, time=20.3004
best_value=11626, lower_bound=-12473.7, time=20.3606
best_value=11626, lower_bound=-12473.5, time=20.4207
best_value=11626, lower_bound=-12473.3, time=20.4803
best_value=11626, lower_bound=-12473.1, time=20.5408
best_value=11626, lower_bound=-12473, time=20.6006
best_value=11626, lower_bound=-12472.8, time=20.6607
best_value=11626, lower_bound=-12472.6, time=20.7205
best_value=11626, lower_bound=-12472.4, time=20.7808
best_value=11626, lower_bound=-12472.3, time=20.8403
best_value=11626, lower_bound=-12472.1, time=20.9006
best_value=11626, lower_bound=-12471.9, time=20.9605
best_value=11626, lower_bound=-12471.7, time=21.0203
best_value=11626, lower_bound=-12471.6, time=21.0805
best_value=11626, lower_bound=-12471.4, time=21.1406
best_value=11626, lower_bound=-12471.2, time=21.2005
best_value=11626, lower_bound=-12471.1, time=21.2605
best_value=11626, lower_bound=-12470.9, time=21.3203
best_value=11626, lower_bound=-12470.7, time=21.3803
best_value=11626, lower_bound=-12470.5, time=21.4403
best_value=11626, lower_bound=-12470.4, time=21.5005
