reading loguai file ../../../data//107network.loguai2
#factors=731
reading function tables.done reading loguai file
normalizing #tables=86
done normalizing
prob.N=1
param.gamma=0.0001
iter=26, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.05, relaxed_primal=1711, relaxed_dual=1711.05, grad_l2=0.592816, infea_inf(ratio=max/min)=e^(120), int_gap=28.1862, pow_l1=inf, time=1378.3
iter=27, primal_obj=1710, best_primal_obj=1711, dual_obj=1711.06, relaxed_primal=1711, relaxed_dual=1711.06, grad_l2=0.427741, infea_inf(ratio=max/min)=e^(120), int_gap=28.3421, pow_l1=inf, time=1429.02
iter=28, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.05, relaxed_primal=1711, relaxed_dual=1711.05, grad_l2=0.596509, infea_inf(ratio=max/min)=e^(120), int_gap=28.2163, pow_l1=inf, time=1482.71
iter=29, primal_obj=1710, best_primal_obj=1711, dual_obj=1711.05, relaxed_primal=1711, relaxed_dual=1711.05, grad_l2=0.42737, infea_inf(ratio=max/min)=e^(120), int_gap=28.3421, pow_l1=inf, time=1555.26
iter=30, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.05, relaxed_primal=1711, relaxed_dual=1711.05, grad_l2=0.592915, infea_inf(ratio=max/min)=e^(120), int_gap=28.1858, pow_l1=inf, time=1606.79
iter=31, primal_obj=1710, best_primal_obj=1711, dual_obj=1711.05, relaxed_primal=1711, relaxed_dual=1711.05, grad_l2=0.427368, infea_inf(ratio=max/min)=e^(120), int_gap=28.3421, pow_l1=inf, time=1658.22
iter=32, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.05, relaxed_primal=1711, relaxed_dual=1711.05, grad_l2=0.596423, infea_inf(ratio=max/min)=e^(120), int_gap=28.2163, pow_l1=inf, time=1709.58
iter=33, primal_obj=1710, best_primal_obj=1711, dual_obj=1711.03, relaxed_primal=1711, relaxed_dual=1711.04, grad_l2=0.427488, infea_inf(ratio=max/min)=e^(120), int_gap=28.3421, pow_l1=inf, time=1761.08
iter=34, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.05, relaxed_primal=1711, relaxed_dual=1711.05, grad_l2=0.592854, infea_inf(ratio=max/min)=e^(120), int_gap=28.1858, pow_l1=inf, time=1812.7
iter=35, primal_obj=1710, best_primal_obj=1711, dual_obj=1711.03, relaxed_primal=1711, relaxed_dual=1711.03, grad_l2=0.427387, infea_inf(ratio=max/min)=e^(120), int_gap=28.3421, pow_l1=inf, time=1864
iter=36, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.05, relaxed_primal=1711, relaxed_dual=1711.05, grad_l2=0.596476, infea_inf(ratio=max/min)=e^(120), int_gap=28.2163, pow_l1=inf, time=1915.8
iter=37, primal_obj=1710, best_primal_obj=1711, dual_obj=1711.02, relaxed_primal=1711, relaxed_dual=1711.02, grad_l2=0.427405, infea_inf(ratio=max/min)=e^(120), int_gap=28.3421, pow_l1=inf, time=1968.2
iter=38, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.05, relaxed_primal=1711, relaxed_dual=1711.05, grad_l2=0.592963, infea_inf(ratio=max/min)=e^(120), int_gap=28.1858, pow_l1=inf, time=2020.26
iter=39, primal_obj=1710, best_primal_obj=1711, dual_obj=1711.01, relaxed_primal=1711, relaxed_dual=1711.02, grad_l2=0.427467, infea_inf(ratio=max/min)=e^(120), int_gap=28.3421, pow_l1=inf, time=2072.73
iter=40, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.05, relaxed_primal=1711, relaxed_dual=1711.05, grad_l2=0.59653, infea_inf(ratio=max/min)=e^(120), int_gap=28.2163, pow_l1=inf, time=2124.65
iter=41, primal_obj=1710, best_primal_obj=1711, dual_obj=1711, relaxed_primal=1711, relaxed_dual=1711, grad_l2=0.426358, infea_inf(ratio=max/min)=e^(72), int_gap=28.3421, pow_l1=inf, time=2176.37
iter=42, primal_obj=1710, best_primal_obj=1711, dual_obj=1711.01, relaxed_primal=1711, relaxed_dual=1711.01, grad_l2=0.418184, infea_inf(ratio=max/min)=e^(113.059), int_gap=28.3421, pow_l1=inf, time=2228.07
iter=43, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.01, relaxed_primal=1711, relaxed_dual=1711.01, grad_l2=0.587199, infea_inf(ratio=max/min)=e^(119.992), int_gap=26.1586, pow_l1=inf, time=2280.24
iter=44, primal_obj=1710, best_primal_obj=1711, dual_obj=1711, relaxed_primal=1711, relaxed_dual=1711, grad_l2=0.408019, infea_inf(ratio=max/min)=e^(75.6087), int_gap=28.3442, pow_l1=inf, time=2331.93
iter=45, primal_obj=1710, best_primal_obj=1711, dual_obj=1711.02, relaxed_primal=1711, relaxed_dual=1711.02, grad_l2=0.407995, infea_inf(ratio=max/min)=e^(120), int_gap=28.3421, pow_l1=inf, time=2383.38
iter=46, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.04, relaxed_primal=1711, relaxed_dual=1711.04, grad_l2=0.579545, infea_inf(ratio=max/min)=e^(120), int_gap=26.3427, pow_l1=inf, time=2436.05
iter=47, primal_obj=1711, best_primal_obj=1711, dual_obj=1711, relaxed_primal=1711, relaxed_dual=1711, grad_l2=0.415367, infea_inf(ratio=max/min)=e^(98.4914), int_gap=4.34211, pow_l1=inf, time=2488.19
