reading loguai file ../../../data/107network//107network.loguai2
#factors=1864
reading function tables.done reading loguai file
normalizing #tables=189
done normalizing
prob.N=1
param.gamma=0.0001
iter=25, primal_obj=3730, best_primal_obj=3730, dual_obj=3733.86, relaxed_primal=3733, relaxed_dual=3733.86, grad_l2=1.10373, infea_inf(ratio=max/min)=e^(120.923), int_gap=196.546, pow_l1=inf, time=7831.35
iter=26, primal_obj=3726, best_primal_obj=3730, dual_obj=3733.88, relaxed_primal=3733, relaxed_dual=3733.88, grad_l2=0.960016, infea_inf(ratio=max/min)=e^(120), int_gap=197.36, pow_l1=inf, time=7991.04
iter=27, primal_obj=3730.67, best_primal_obj=3730.67, dual_obj=3733.83, relaxed_primal=3733, relaxed_dual=3733.83, grad_l2=1.15159, infea_inf(ratio=max/min)=e^(120.835), int_gap=194.098, pow_l1=inf, time=8143.12
iter=28, primal_obj=3729, best_primal_obj=3730.67, dual_obj=3733.87, relaxed_primal=3733, relaxed_dual=3733.88, grad_l2=0.972397, infea_inf(ratio=max/min)=e^(120), int_gap=197.228, pow_l1=inf, time=8297.81
iter=29, primal_obj=3729, best_primal_obj=3730.67, dual_obj=3733.87, relaxed_primal=3733, relaxed_dual=3733.87, grad_l2=1.12746, infea_inf(ratio=max/min)=e^(121.083), int_gap=196.126, pow_l1=inf, time=8450.22
iter=30, primal_obj=3723, best_primal_obj=3730.67, dual_obj=3733.87, relaxed_primal=3733, relaxed_dual=3733.87, grad_l2=0.98605, infea_inf(ratio=max/min)=e^(120), int_gap=239.543, pow_l1=inf, time=8602.36
iter=31, primal_obj=3731, best_primal_obj=3731, dual_obj=3733.83, relaxed_primal=3733, relaxed_dual=3733.83, grad_l2=1.15617, infea_inf(ratio=max/min)=e^(121.023), int_gap=196.082, pow_l1=inf, time=8756.89
iter=32, primal_obj=3730, best_primal_obj=3731, dual_obj=3733.85, relaxed_primal=3733, relaxed_dual=3733.86, grad_l2=0.932897, infea_inf(ratio=max/min)=e^(120), int_gap=197.765, pow_l1=inf, time=8906.76
iter=33, primal_obj=3730, best_primal_obj=3731, dual_obj=3733.83, relaxed_primal=3733, relaxed_dual=3733.84, grad_l2=1.14621, infea_inf(ratio=max/min)=e^(121.247), int_gap=194.687, pow_l1=inf, time=9056.23
iter=34, primal_obj=3710.67, best_primal_obj=3731, dual_obj=3733.87, relaxed_primal=3733, relaxed_dual=3733.87, grad_l2=0.951197, infea_inf(ratio=max/min)=e^(120), int_gap=233.626, pow_l1=inf, time=9212.72
iter=35, primal_obj=3730.67, best_primal_obj=3731, dual_obj=3733.83, relaxed_primal=3733, relaxed_dual=3733.83, grad_l2=1.14959, infea_inf(ratio=max/min)=e^(121.225), int_gap=195.967, pow_l1=inf, time=9367.54
iter=36, primal_obj=3729, best_primal_obj=3731, dual_obj=3733.81, relaxed_primal=3733, relaxed_dual=3733.81, grad_l2=0.976378, infea_inf(ratio=max/min)=e^(120.486), int_gap=198.297, pow_l1=inf, time=9521.92
iter=37, primal_obj=3713, best_primal_obj=3731, dual_obj=3733.84, relaxed_primal=3733, relaxed_dual=3733.84, grad_l2=1.12382, infea_inf(ratio=max/min)=e^(121.38), int_gap=232.592, pow_l1=inf, time=9673.6
iter=38, primal_obj=3724, best_primal_obj=3731, dual_obj=3733.8, relaxed_primal=3733, relaxed_dual=3733.81, grad_l2=0.979836, infea_inf(ratio=max/min)=e^(120.319), int_gap=240.38, pow_l1=inf, time=9823.83
iter=39, primal_obj=3718.67, best_primal_obj=3731, dual_obj=3733.84, relaxed_primal=3733, relaxed_dual=3733.84, grad_l2=1.15264, infea_inf(ratio=max/min)=e^(121.375), int_gap=230.564, pow_l1=inf, time=9974.98
iter=40, primal_obj=3711, best_primal_obj=3731, dual_obj=3733.83, relaxed_primal=3732, relaxed_dual=3733.84, grad_l2=0.949391, infea_inf(ratio=max/min)=e^(120), int_gap=253.908, pow_l1=inf, time=10129.9
iter=41, primal_obj=3732, best_primal_obj=3732, dual_obj=3733.82, relaxed_primal=3733.01, relaxed_dual=3733.83, grad_l2=1.17856, infea_inf(ratio=max/min)=e^(121.472), int_gap=196.612, pow_l1=inf, time=10284.3
iter=42, primal_obj=3716, best_primal_obj=3732, dual_obj=3733.75, relaxed_primal=3733.01, relaxed_dual=3733.75, grad_l2=0.966907, infea_inf(ratio=max/min)=e^(120), int_gap=240.157, pow_l1=inf, time=10437.1
iter=43, primal_obj=-2e+300, best_primal_obj=3732, dual_obj=3733.85, relaxed_primal=3731, relaxed_dual=3733.85, grad_l2=1.15021, infea_inf(ratio=max/min)=e^(121.472), int_gap=298.578, pow_l1=inf, time=10589.8
iter=44, primal_obj=3727, best_primal_obj=3732, dual_obj=3733.82, relaxed_primal=3732.01, relaxed_dual=3733.82, grad_l2=0.994501, infea_inf(ratio=max/min)=e^(120.211), int_gap=228.56, pow_l1=inf, time=10749
