reading uai file ../../../data//ImageAlignment/uai/fileforGal_400markers.uai
done reading uai file
normalizing #tables=3334
prob.avg_domain_size=54.985
prob.N=1
param.rho=1
param.eta=1
@0: T=400, n=10523771, nf=0, m=0, me=342864
iter=155, #inner=118, relaxed-p-obj=-6763.173, decoded_t=-7038.202, best_decoded=-7038.202, eta=1, p_inf=0.1, d_inf=0.0034, gap=0.016, nnz=21657(0.0089), time=2.8e+02
iter=160, #inner=158, relaxed-p-obj=-6767.266, decoded_t=-7056.296, best_decoded=-7038.202, eta=1, p_inf=0.1, d_inf=0.00014, gap=0.016, nnz=22019(0.0093), time=2.9e+02
iter=165, #inner=96, relaxed-p-obj=-6769.203, decoded_t=-7056.296, best_decoded=-7038.202, eta=1, p_inf=0.099, d_inf=0.0011, gap=0.016, nnz=25198(0.01), time=3e+02
iter=170, #inner=96, relaxed-p-obj=-6772.464, decoded_t=-6956.064, best_decoded=-6956.064, eta=1, p_inf=0.096, d_inf=1.6e-05, gap=0.016, nnz=25213(0.01), time=3e+02
iter=175, #inner=96, relaxed-p-obj=-6774.358, decoded_t=-7038.202, best_decoded=-6956.064, eta=1, p_inf=0.096, d_inf=6.8e-05, gap=0.016, nnz=25226(0.01), time=3.1e+02
iter=180, #inner=96, relaxed-p-obj=-6780.541, decoded_t=-7009.002, best_decoded=-6956.064, eta=1, p_inf=0.091, d_inf=9.4e-06, gap=0.016, nnz=25239(0.01), time=3.2e+02
iter=185, #inner=96, relaxed-p-obj=-6784.899, decoded_t=-7003.672, best_decoded=-6956.064, eta=1, p_inf=0.087, d_inf=7.8e-05, gap=0.016, nnz=25251(0.01), time=3.3e+02
iter=190, #inner=96, relaxed-p-obj=-6805.804, decoded_t=-6970.061, best_decoded=-6956.064, eta=1, p_inf=0.11, d_inf=0.0011, gap=0.013, nnz=25257(0.01), time=3.4e+02
iter=195, #inner=96, relaxed-p-obj=-6817.395, decoded_t=-6932.616, best_decoded=-6932.616, eta=1, p_inf=0.096, d_inf=0.0012, gap=0.011, nnz=25280(0.01), time=3.5e+02
iter=200, #inner=96, relaxed-p-obj=-6829.436, decoded_t=-6932.616, best_decoded=-6932.616, eta=1, p_inf=0.11, d_inf=0.00063, gap=0.0099, nnz=25266(0.01), time=3.6e+02
iter=205, #inner=96, relaxed-p-obj=-6843.96, decoded_t=-6913.099, best_decoded=-6913.099, eta=1, p_inf=0.093, d_inf=0.00015, gap=0.008, nnz=25315(0.01), time=3.7e+02
iter=210, #inner=96, relaxed-p-obj=-6853.169, decoded_t=-6937.139, best_decoded=-6913.099, eta=1, p_inf=0.098, d_inf=0.019, gap=0.0068, nnz=25328(0.01), time=3.7e+02
iter=215, #inner=96, relaxed-p-obj=-6862.792, decoded_t=-6920.387, best_decoded=-6913.099, eta=1, p_inf=0.089, d_inf=0.00036, gap=0.0055, nnz=25336(0.01), time=3.8e+02
iter=220, #inner=96, relaxed-p-obj=-6868.435, decoded_t=-6939.427, best_decoded=-6913.099, eta=1, p_inf=0.077, d_inf=0.00047, gap=0.0048, nnz=25343(0.01), time=3.9e+02
iter=225, #inner=96, relaxed-p-obj=-6874.569, decoded_t=-6920.387, best_decoded=-6913.099, eta=1, p_inf=0.07, d_inf=0.00015, gap=0.004, nnz=25356(0.01), time=4e+02
iter=230, #inner=96, relaxed-p-obj=-6878.733, decoded_t=-6928.707, best_decoded=-6913.099, eta=1, p_inf=0.056, d_inf=1.7e-05, gap=0.0035, nnz=25372(0.01), time=4.1e+02
iter=235, #inner=96, relaxed-p-obj=-6883.286, decoded_t=-6947.746, best_decoded=-6913.099, eta=1, p_inf=0.046, d_inf=0.00021, gap=0.0029, nnz=25348(0.01), time=4.2e+02
iter=240, #inner=96, relaxed-p-obj=-6884.603, decoded_t=-6947.746, best_decoded=-6913.099, eta=1, p_inf=0.042, d_inf=0.00022, gap=0.0028, nnz=25375(0.01), time=4.3e+02
iter=245, #inner=96, relaxed-p-obj=-6886.16, decoded_t=-6947.746, best_decoded=-6913.099, eta=1, p_inf=0.038, d_inf=0.0003, gap=0.0026, nnz=25386(0.01), time=4.4e+02
iter=250, #inner=96, relaxed-p-obj=-6889.993, decoded_t=-6947.746, best_decoded=-6913.099, eta=1, p_inf=0.051, d_inf=0.00034, gap=0.0021, nnz=25388(0.01), time=4.5e+02
iter=255, #inner=96, relaxed-p-obj=-6891.842, decoded_t=-6947.746, best_decoded=-6913.099, eta=1, p_inf=0.045, d_inf=7.1e-05, gap=0.0019, nnz=25384(0.01), time=4.5e+02
iter=260, #inner=96, relaxed-p-obj=-6892.492, decoded_t=-6947.746, best_decoded=-6913.099, eta=1, p_inf=0.042, d_inf=0.00027, gap=0.0018, nnz=25359(0.01), time=4.6e+02
iter=265, #inner=96, relaxed-p-obj=-6893.239, decoded_t=-6953.887, best_decoded=-6913.099, eta=1, p_inf=0.041, d_inf=0.007, gap=0.0017, nnz=25352(0.01), time=4.7e+02
iter=270, #inner=96, relaxed-p-obj=-6897.721, decoded_t=-6947.746, best_decoded=-6913.099, eta=1, p_inf=0.039, d_inf=0.0024, gap=0.0011, nnz=25307(0.01), time=4.8e+02
iter=275, #inner=96, relaxed-p-obj=-6898.139, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.032, d_inf=0.00023, gap=0.0011, nnz=25298(0.01), time=4.9e+02
iter=280, #inner=96, relaxed-p-obj=-6898.715, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.029, d_inf=0.00058, gap=0.00099, nnz=25349(0.01), time=5e+02
iter=285, #inner=96, relaxed-p-obj=-6899.036, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.027, d_inf=0.00018, gap=0.00096, nnz=25331(0.01), time=5.1e+02
iter=290, #inner=96, relaxed-p-obj=-6899.714, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.025, d_inf=0.00019, gap=0.00087, nnz=25328(0.01), time=5.2e+02
iter=295, #inner=96, relaxed-p-obj=-6899.946, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.024, d_inf=6.5e-05, gap=0.00085, nnz=25365(0.01), time=5.3e+02
iter=300, #inner=96, relaxed-p-obj=-6899.995, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.023, d_inf=0.00018, gap=0.00086, nnz=25370(0.01), time=5.3e+02
iter=305, #inner=96, relaxed-p-obj=-6900.567, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.026, d_inf=0.00021, gap=0.00079, nnz=25376(0.01), time=5.4e+02
iter=310, #inner=96, relaxed-p-obj=-6901.401, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.028, d_inf=0.0014, gap=0.00068, nnz=25333(0.01), time=5.5e+02
iter=315, #inner=96, relaxed-p-obj=-6901.516, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.026, d_inf=0.00042, gap=0.00068, nnz=25385(0.01), time=5.6e+02
iter=320, #inner=96, relaxed-p-obj=-6901.912, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.022, d_inf=0.00054, gap=0.00063, nnz=25330(0.01), time=5.7e+02
iter=325, #inner=96, relaxed-p-obj=-6902.02, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.022, d_inf=0.0015, gap=0.00062, nnz=25325(0.01), time=5.8e+02
iter=330, #inner=96, relaxed-p-obj=-6902.123, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.022, d_inf=0.00022, gap=0.00062, nnz=25360(0.01), time=5.9e+02
iter=335, #inner=96, relaxed-p-obj=-6902.113, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.021, d_inf=0.00028, gap=0.00063, nnz=25361(0.01), time=6e+02
iter=340, #inner=96, relaxed-p-obj=-6902.424, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.014, d_inf=0.0016, gap=0.00059, nnz=25371(0.01), time=6.1e+02
iter=345, #inner=96, relaxed-p-obj=-6903.191, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.012, d_inf=0.00052, gap=0.00048, nnz=24647(0.01), time=6.2e+02
iter=350, #inner=96, relaxed-p-obj=-6903.183, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.01, d_inf=0.00023, gap=0.00049, nnz=25346(0.01), time=6.2e+02
iter=355, #inner=96, relaxed-p-obj=-6903.213, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.01, d_inf=0.00035, gap=0.00049, nnz=25393(0.01), time=6.3e+02
iter=360, #inner=96, relaxed-p-obj=-6903.271, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.012, d_inf=9.2e-05, gap=0.00049, nnz=25412(0.01), time=6.4e+02
iter=365, #inner=96, relaxed-p-obj=-6903.279, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.012, d_inf=6.9e-05, gap=0.0005, nnz=25417(0.01), time=6.5e+02
iter=370, #inner=96, relaxed-p-obj=-6903.335, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.012, d_inf=6.1e-05, gap=0.0005, nnz=25418(0.01), time=6.6e+02
iter=375, #inner=96, relaxed-p-obj=-6903.471, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.012, d_inf=0.0001, gap=0.00048, nnz=25402(0.01), time=6.7e+02
iter=380, #inner=96, relaxed-p-obj=-6903.482, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.012, d_inf=5.9e-05, gap=0.00049, nnz=25432(0.01), time=6.8e+02
iter=385, #inner=96, relaxed-p-obj=-6903.528, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.011, d_inf=0.00072, gap=0.00049, nnz=25389(0.01), time=6.9e+02
iter=390, #inner=96, relaxed-p-obj=-6904.555, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.012, d_inf=0.0012, gap=0.00034, nnz=24364(0.01), time=6.9e+02
iter=395, #inner=96, relaxed-p-obj=-6904.565, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.012, d_inf=0.00058, gap=0.00034, nnz=25278(0.01), time=7e+02
iter=400, #inner=96, relaxed-p-obj=-6904.384, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0097, d_inf=0.00085, gap=0.00037, nnz=25383(0.01), time=7.1e+02
iter=405, #inner=96, relaxed-p-obj=-6904.37, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0096, d_inf=0.00025, gap=0.00038, nnz=25388(0.01), time=7.2e+02
iter=410, #inner=96, relaxed-p-obj=-6904.593, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0097, d_inf=0.00028, gap=0.00035, nnz=25354(0.01), time=7.3e+02
iter=415, #inner=96, relaxed-p-obj=-6904.653, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.01, d_inf=0.00023, gap=0.00035, nnz=25452(0.01), time=7.4e+02
iter=420, #inner=96, relaxed-p-obj=-6904.588, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0097, d_inf=0.00023, gap=0.00036, nnz=25460(0.01), time=7.5e+02
iter=425, #inner=96, relaxed-p-obj=-6904.581, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0094, d_inf=0.00025, gap=0.00037, nnz=25460(0.01), time=7.6e+02
iter=430, #inner=96, relaxed-p-obj=-6904.649, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0092, d_inf=0.00016, gap=0.00036, nnz=25477(0.01), time=7.7e+02
iter=435, #inner=96, relaxed-p-obj=-6904.75, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0092, d_inf=0.0002, gap=0.00035, nnz=25465(0.01), time=7.7e+02
iter=440, #inner=96, relaxed-p-obj=-6904.762, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0092, d_inf=7.9e-05, gap=0.00035, nnz=25468(0.01), time=7.8e+02
iter=445, #inner=96, relaxed-p-obj=-6905.213, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0089, d_inf=0.0017, gap=0.00029, nnz=25053(0.01), time=8e+02
iter=450, #inner=133, relaxed-p-obj=-6905.929, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0087, d_inf=0.0011, gap=0.00019, nnz=24376(0.01), time=8.1e+02
iter=455, #inner=96, relaxed-p-obj=-6905.804, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.011, d_inf=0.00056, gap=0.00021, nnz=25222(0.01), time=8.3e+02
iter=460, #inner=96, relaxed-p-obj=-6905.82, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0097, d_inf=0.00069, gap=0.00021, nnz=25326(0.01), time=8.4e+02
iter=465, #inner=96, relaxed-p-obj=-6905.767, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0078, d_inf=0.0011, gap=0.00022, nnz=25117(0.01), time=8.5e+02
iter=470, #inner=96, relaxed-p-obj=-6905.735, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0068, d_inf=0.00024, gap=0.00022, nnz=25132(0.01), time=8.7e+02
iter=475, #inner=96, relaxed-p-obj=-6905.772, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0075, d_inf=0.00049, gap=0.00022, nnz=25136(0.01), time=8.8e+02
iter=480, #inner=96, relaxed-p-obj=-6906.043, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0058, d_inf=0.00087, gap=0.00018, nnz=25199(0.01), time=8.9e+02
iter=485, #inner=664, relaxed-p-obj=-6907.298, decoded_t=-6954.465, best_decoded=-6913.099, eta=1, p_inf=0.0061, d_inf=0.001, gap=7.3e-07, nnz=4768(0.0015), time=9.1e+02
iter=490, #inner=117, relaxed-p-obj=-6906.961, decoded_t=-6954.465, best_decoded=-6913.099, eta=1, p_inf=0.0043, d_inf=0.00025, gap=5e-05, nnz=15419(0.0092), time=9.2e+02
iter=495, #inner=97, relaxed-p-obj=-6906.901, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.0038, d_inf=0.00038, gap=5.9e-05, nnz=17057(0.01), time=9.3e+02
iter=500, #inner=97, relaxed-p-obj=-6906.905, decoded_t=-6940.015, best_decoded=-6913.099, eta=1, p_inf=0.003, d_inf=0.00044, gap=5.9e-05, nnz=16612(0.01), time=9.4e+02
iter=505, #inner=97, relaxed-p-obj=-6907.067, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=0.0015, d_inf=0.0011, gap=3.6e-05, nnz=14034(0.01), time=9.5e+02
iter=510, #inner=510, relaxed-p-obj=-6907.364, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=0.0045, d_inf=0.0015, gap=7.2e-06, nnz=3524(0.0013), time=9.5e+02
iter=515, #inner=786, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=2.4e-05, d_inf=5.1e-06, gap=1.5e-08, nnz=3644(0.0013), time=9.6e+02
iter=520, #inner=805, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=4.5e-11, d_inf=1.7e-11, gap=2.3e-13, nnz=3431(0.0012), time=9.7e+02
iter=525, #inner=809, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=1.3e-12, d_inf=1e-12, gap=1.6e-13, nnz=3431(0.0012), time=9.8e+02
