Time limit = 1e+08
Random seed = 0
niter=10000000
niter_later=20
nclus_to_add=5
obj_del_thr=0.0002
int_gap_thr=0.0002
Calling Init() code...
Reading model file
Initializing...
Initially running MPLP for 10000000 iterations
Iter=50 Objective=-6902.24 Decoded=-6907.6 ObjDel=0.0215759 IntGap=5.35926 Elapsed Time=13.2494
Iter=51 Objective=-6902.26 Decoded=-6907.6 ObjDel=0.0206601 IntGap=5.3386 Elapsed Time=13.5106
Iter=52 Objective=-6902.28 Decoded=-6907.6 ObjDel=0.0197997 IntGap=5.3188 Elapsed Time=13.7717
Iter=53 Objective=-6902.3 Decoded=-6907.6 ObjDel=0.0189913 IntGap=5.29981 Elapsed Time=14.0331
Iter=54 Objective=-6902.32 Decoded=-6907.6 ObjDel=0.0182293 IntGap=5.28158 Elapsed Time=14.2943
Iter=55 Objective=-6902.34 Decoded=-6907.6 ObjDel=0.0175113 IntGap=5.26407 Elapsed Time=14.5547
Iter=56 Objective=-6902.36 Decoded=-6907.6 ObjDel=0.0168346 IntGap=5.24724 Elapsed Time=14.8151
Iter=57 Objective=-6902.37 Decoded=-6907.6 ObjDel=0.0161967 IntGap=5.23104 Elapsed Time=15.0753
Iter=58 Objective=-6902.39 Decoded=-6907.6 ObjDel=0.015595 IntGap=5.21544 Elapsed Time=15.3368
Iter=59 Objective=-6902.4 Decoded=-6907.6 ObjDel=0.015027 IntGap=5.20042 Elapsed Time=15.5991
Iter=60 Objective=-6902.42 Decoded=-6907.6 ObjDel=0.0144904 IntGap=5.18593 Elapsed Time=15.8589
Iter=61 Objective=-6902.43 Decoded=-6907.6 ObjDel=0.0139828 IntGap=5.17194 Elapsed Time=16.119
Iter=62 Objective=-6902.44 Decoded=-6907.6 ObjDel=0.0135021 IntGap=5.15844 Elapsed Time=16.3807
Iter=63 Objective=-6902.46 Decoded=-6907.6 ObjDel=0.0130465 IntGap=5.1454 Elapsed Time=16.6431
Iter=64 Objective=-6902.47 Decoded=-6907.6 ObjDel=0.0126139 IntGap=5.13278 Elapsed Time=16.9025
Iter=65 Objective=-6902.48 Decoded=-6907.6 ObjDel=0.0122029 IntGap=5.12058 Elapsed Time=17.1639
Iter=66 Objective=-6902.49 Decoded=-6907.6 ObjDel=0.0118117 IntGap=5.10877 Elapsed Time=17.4255
Iter=67 Objective=-6902.51 Decoded=-6907.6 ObjDel=0.011439 IntGap=5.09733 Elapsed Time=17.6867
Iter=68 Objective=-6902.52 Decoded=-6907.6 ObjDel=0.0110834 IntGap=5.08624 Elapsed Time=17.9493
Iter=69 Objective=-6902.53 Decoded=-6907.6 ObjDel=0.0107438 IntGap=5.0755 Elapsed Time=18.2112
Iter=70 Objective=-6902.54 Decoded=-6907.6 ObjDel=0.0104191 IntGap=5.06508 Elapsed Time=18.4709
Iter=71 Objective=-6902.55 Decoded=-6907.6 ObjDel=0.0101084 IntGap=5.05497 Elapsed Time=18.7315
Iter=72 Objective=-6902.56 Decoded=-6907.6 ObjDel=0.00981057 IntGap=5.04516 Elapsed Time=18.9916
Iter=73 Objective=-6902.57 Decoded=-6907.6 ObjDel=0.00952493 IntGap=5.03564 Elapsed Time=19.2514
Iter=74 Objective=-6902.58 Decoded=-6907.6 ObjDel=0.00925068 IntGap=5.02639 Elapsed Time=19.512
Iter=75 Objective=-6902.59 Decoded=-6907.6 ObjDel=0.00898712 IntGap=5.0174 Elapsed Time=19.7744
Iter=76 Objective=-6902.59 Decoded=-6907.6 ObjDel=0.00873362 IntGap=5.00867 Elapsed Time=20.0355
Iter=77 Objective=-6902.6 Decoded=-6907.6 ObjDel=0.00848958 IntGap=5.00018 Elapsed Time=20.297
Iter=78 Objective=-6902.61 Decoded=-6907.6 ObjDel=0.00825445 IntGap=4.99192 Elapsed Time=20.5585
Iter=79 Objective=-6902.62 Decoded=-6907.6 ObjDel=0.00802775 IntGap=4.98389 Elapsed Time=20.819
Iter=80 Objective=-6902.63 Decoded=-6907.6 ObjDel=0.007809 IntGap=4.97609 Elapsed Time=21.0804
Iter=81 Objective=-6902.63 Decoded=-6907.6 ObjDel=0.00759779 IntGap=4.96849 Elapsed Time=21.3417
Iter=82 Objective=-6902.64 Decoded=-6907.6 ObjDel=0.00739372 IntGap=4.96109 Elapsed Time=21.6176
