reading uai file ../../../data//Segmentation/uai/16_16_s.21.uai
done reading uai file
normalizing #tables=842
prob.N=1
param.gamma=0.0001
iter=24, primal_obj=-391.157, best_primal_obj=-366.207, dual_obj=-182.489, relaxed_primal=-163.085, relaxed_dual=-182.484, grad_l2=0.167831, infea_inf(ratio=max/min)=e^(120.004), int_gap=225.419, pow_l1=3.56884e+09, time=0.584645
iter=25, primal_obj=-399.69, best_primal_obj=-366.207, dual_obj=-183.576, relaxed_primal=-168.733, relaxed_dual=-183.569, grad_l2=0.175982, infea_inf(ratio=max/min)=e^(120.022), int_gap=232.445, pow_l1=3.57042e+09, time=0.603764
iter=26, primal_obj=-378.171, best_primal_obj=-366.207, dual_obj=-184.374, relaxed_primal=-166.269, relaxed_dual=-184.369, grad_l2=0.171998, infea_inf(ratio=max/min)=e^(120), int_gap=215.034, pow_l1=3.57204e+09, time=0.622887
iter=27, primal_obj=-387.507, best_primal_obj=-366.207, dual_obj=-185.336, relaxed_primal=-171.205, relaxed_dual=-185.33, grad_l2=0.173734, infea_inf(ratio=max/min)=e^(120), int_gap=216.498, pow_l1=3.57364e+09, time=0.642017
iter=28, primal_obj=-376.072, best_primal_obj=-366.207, dual_obj=-186.052, relaxed_primal=-167.664, relaxed_dual=-186.047, grad_l2=0.167949, infea_inf(ratio=max/min)=e^(120), int_gap=206.029, pow_l1=3.57528e+09, time=0.661151
iter=29, primal_obj=-387.045, best_primal_obj=-366.207, dual_obj=-186.938, relaxed_primal=-172.038, relaxed_dual=-186.931, grad_l2=0.174571, infea_inf(ratio=max/min)=e^(120), int_gap=219.558, pow_l1=3.57691e+09, time=0.680302
iter=30, primal_obj=-360.708, best_primal_obj=-360.708, dual_obj=-187.577, relaxed_primal=-171.381, relaxed_dual=-187.572, grad_l2=0.168425, infea_inf(ratio=max/min)=e^(120.025), int_gap=189.796, pow_l1=3.57861e+09, time=0.699445
iter=31, primal_obj=-377.591, best_primal_obj=-360.708, dual_obj=-188.412, relaxed_primal=-177.918, relaxed_dual=-188.406, grad_l2=0.178358, infea_inf(ratio=max/min)=e^(120), int_gap=210.959, pow_l1=3.58024e+09, time=0.718656
iter=32, primal_obj=-366.903, best_primal_obj=-360.708, dual_obj=-188.937, relaxed_primal=-170.05, relaxed_dual=-188.932, grad_l2=0.170851, infea_inf(ratio=max/min)=e^(120), int_gap=200.601, pow_l1=3.58202e+09, time=0.737803
iter=33, primal_obj=-381.344, best_primal_obj=-360.708, dual_obj=-189.678, relaxed_primal=-180.378, relaxed_dual=-189.672, grad_l2=0.179613, infea_inf(ratio=max/min)=e^(120), int_gap=211.056, pow_l1=3.5837e+09, time=0.756946
iter=34, primal_obj=-362.15, best_primal_obj=-360.708, dual_obj=-190.238, relaxed_primal=-169.159, relaxed_dual=-190.234, grad_l2=0.167421, infea_inf(ratio=max/min)=e^(120), int_gap=193.614, pow_l1=3.58555e+09, time=0.776098
iter=35, primal_obj=-360.026, best_primal_obj=-360.026, dual_obj=-190.894, relaxed_primal=-181.423, relaxed_dual=-190.888, grad_l2=0.18049, infea_inf(ratio=max/min)=e^(120.024), int_gap=198.291, pow_l1=3.5872e+09, time=0.795259
iter=36, primal_obj=-362.273, best_primal_obj=-360.026, dual_obj=-191.418, relaxed_primal=-167.849, relaxed_dual=-191.413, grad_l2=0.171734, infea_inf(ratio=max/min)=e^(120), int_gap=202.846, pow_l1=3.5891e+09, time=0.81442
iter=37, primal_obj=-367.014, best_primal_obj=-360.026, dual_obj=-192.026, relaxed_primal=-183.603, relaxed_dual=-192.02, grad_l2=0.185271, infea_inf(ratio=max/min)=e^(120), int_gap=204.839, pow_l1=3.59078e+09, time=0.833573
iter=38, primal_obj=-349.847, best_primal_obj=-349.847, dual_obj=-192.582, relaxed_primal=-168.645, relaxed_dual=-192.577, grad_l2=0.174363, infea_inf(ratio=max/min)=e^(120.001), int_gap=187.167, pow_l1=3.59275e+09, time=0.852731
iter=39, primal_obj=-367.569, best_primal_obj=-349.847, dual_obj=-193.158, relaxed_primal=-184.184, relaxed_dual=-193.153, grad_l2=0.185243, infea_inf(ratio=max/min)=e^(120), int_gap=209.397, pow_l1=3.59446e+09, time=0.8719
iter=40, primal_obj=-364.654, best_primal_obj=-349.847, dual_obj=-193.709, relaxed_primal=-170.139, relaxed_dual=-193.704, grad_l2=0.17278, infea_inf(ratio=max/min)=e^(120), int_gap=204.268, pow_l1=3.59641e+09, time=0.89106
iter=41, primal_obj=-367.014, best_primal_obj=-349.847, dual_obj=-194.282, relaxed_primal=-183.502, relaxed_dual=-194.276, grad_l2=0.185475, infea_inf(ratio=max/min)=e^(120), int_gap=210.62, pow_l1=3.59812e+09, time=0.910353
iter=42, primal_obj=-358.465, best_primal_obj=-349.847, dual_obj=-194.766, relaxed_primal=-170.949, relaxed_dual=-194.76, grad_l2=0.178496, infea_inf(ratio=max/min)=e^(120.001), int_gap=203.542, pow_l1=3.60012e+09, time=0.929516
iter=43, primal_obj=-361.452, best_primal_obj=-349.847, dual_obj=-195.245, relaxed_primal=-187.779, relaxed_dual=-195.239, grad_l2=0.188854, infea_inf(ratio=max/min)=e^(120), int_gap=216.238, pow_l1=3.60188e+09, time=0.948698
iter=44, primal_obj=-353.995, best_primal_obj=-349.847, dual_obj=-195.681, relaxed_primal=-174.775, relaxed_dual=-195.677, grad_l2=0.177555, infea_inf(ratio=max/min)=e^(120), int_gap=203.52, pow_l1=3.60384e+09, time=0.967861
iter=45, primal_obj=-371.143, best_primal_obj=-349.847, dual_obj=-196.205, relaxed_primal=-188.736, relaxed_dual=-196.199, grad_l2=0.188919, infea_inf(ratio=max/min)=e^(120), int_gap=225.317, pow_l1=3.60554e+09, time=0.987029
iter=46, primal_obj=-362.85, best_primal_obj=-349.847, dual_obj=-196.631, relaxed_primal=-171.583, relaxed_dual=-196.627, grad_l2=0.178081, infea_inf(ratio=max/min)=e^(120), int_gap=208.36, pow_l1=3.60748e+09, time=1.0062
iter=47, primal_obj=-362.725, best_primal_obj=-349.847, dual_obj=-197.083, relaxed_primal=-184.429, relaxed_dual=-197.078, grad_l2=0.193789, infea_inf(ratio=max/min)=e^(120), int_gap=219.461, pow_l1=3.60917e+09, time=1.02537
iter=48, primal_obj=-353.852, best_primal_obj=-349.847, dual_obj=-197.503, relaxed_primal=-175.739, relaxed_dual=-197.5, grad_l2=0.179758, infea_inf(ratio=max/min)=e^(120), int_gap=199.636, pow_l1=3.61119e+09, time=1.04454
iter=49, primal_obj=-366.323, best_primal_obj=-349.847, dual_obj=-198.045, relaxed_primal=-188.955, relaxed_dual=-198.04, grad_l2=0.190309, infea_inf(ratio=max/min)=e^(120), int_gap=217.909, pow_l1=3.61289e+09, time=1.06372
iter=50, primal_obj=-355.727, best_primal_obj=-349.847, dual_obj=-198.395, relaxed_primal=-174.981, relaxed_dual=-198.392, grad_l2=0.180608, infea_inf(ratio=max/min)=e^(120), int_gap=200.61, pow_l1=3.61486e+09, time=1.08289
iter=51, primal_obj=-360.045, best_primal_obj=-349.847, dual_obj=-198.868, relaxed_primal=-187.711, relaxed_dual=-198.863, grad_l2=0.194376, infea_inf(ratio=max/min)=e^(120), int_gap=217.61, pow_l1=3.61658e+09, time=1.10207
iter=52, primal_obj=-350.572, best_primal_obj=-349.847, dual_obj=-199.237, relaxed_primal=-179.132, relaxed_dual=-199.234, grad_l2=0.184166, infea_inf(ratio=max/min)=e^(120), int_gap=198.665, pow_l1=3.61864e+09, time=1.12124
iter=53, primal_obj=-355.92, best_primal_obj=-349.847, dual_obj=-199.746, relaxed_primal=-184.307, relaxed_dual=-199.741, grad_l2=0.195476, infea_inf(ratio=max/min)=e^(120), int_gap=223.829, pow_l1=3.62041e+09, time=1.14043
iter=54, primal_obj=-353.408, best_primal_obj=-349.847, dual_obj=-200.057, relaxed_primal=-178.107, relaxed_dual=-200.053, grad_l2=0.187033, infea_inf(ratio=max/min)=e^(120), int_gap=209.226, pow_l1=3.62247e+09, time=1.15965
iter=55, primal_obj=-351.513, best_primal_obj=-349.847, dual_obj=-200.573, relaxed_primal=-188.201, relaxed_dual=-200.568, grad_l2=0.198044, infea_inf(ratio=max/min)=e^(120), int_gap=215.877, pow_l1=3.62431e+09, time=1.17888
iter=56, primal_obj=-358.704, best_primal_obj=-349.847, dual_obj=-200.894, relaxed_primal=-177.433, relaxed_dual=-200.89, grad_l2=0.184045, infea_inf(ratio=max/min)=e^(120), int_gap=208.589, pow_l1=3.62643e+09, time=1.19805
iter=57, primal_obj=-354.501, best_primal_obj=-349.847, dual_obj=-201.414, relaxed_primal=-188.465, relaxed_dual=-201.409, grad_l2=0.193984, infea_inf(ratio=max/min)=e^(120), int_gap=214.351, pow_l1=3.62818e+09, time=1.21724
iter=58, primal_obj=-358.039, best_primal_obj=-349.847, dual_obj=-201.69, relaxed_primal=-176.613, relaxed_dual=-201.687, grad_l2=0.18439, infea_inf(ratio=max/min)=e^(120), int_gap=212.944, pow_l1=3.63027e+09, time=1.23641
iter=59, primal_obj=-354.258, best_primal_obj=-349.847, dual_obj=-202.136, relaxed_primal=-188.822, relaxed_dual=-202.131, grad_l2=0.200563, infea_inf(ratio=max/min)=e^(120), int_gap=221.341, pow_l1=3.63204e+09, time=1.25561
iter=60, primal_obj=-359.564, best_primal_obj=-349.847, dual_obj=-202.464, relaxed_primal=-178.144, relaxed_dual=-202.461, grad_l2=0.185683, infea_inf(ratio=max/min)=e^(120), int_gap=209.189, pow_l1=3.63421e+09, time=1.27478
iter=61, primal_obj=-353.574, best_primal_obj=-349.847, dual_obj=-202.887, relaxed_primal=-192.343, relaxed_dual=-202.882, grad_l2=0.19782, infea_inf(ratio=max/min)=e^(120), int_gap=217.507, pow_l1=3.63597e+09, time=1.29397
iter=62, primal_obj=-354.338, best_primal_obj=-349.847, dual_obj=-203.183, relaxed_primal=-179.451, relaxed_dual=-203.18, grad_l2=0.186782, infea_inf(ratio=max/min)=e^(120), int_gap=212.451, pow_l1=3.63807e+09, time=1.31314
iter=63, primal_obj=-355.702, best_primal_obj=-349.847, dual_obj=-203.573, relaxed_primal=-191.538, relaxed_dual=-203.568, grad_l2=0.196387, infea_inf(ratio=max/min)=e^(120), int_gap=223.719, pow_l1=3.63988e+09, time=1.33234
iter=64, primal_obj=-352.17, best_primal_obj=-349.847, dual_obj=-203.883, relaxed_primal=-177.954, relaxed_dual=-203.88, grad_l2=0.185524, infea_inf(ratio=max/min)=e^(120), int_gap=213.582, pow_l1=3.64199e+09, time=1.35153
iter=65, primal_obj=-353.232, best_primal_obj=-349.847, dual_obj=-204.302, relaxed_primal=-192.482, relaxed_dual=-204.298, grad_l2=0.191428, infea_inf(ratio=max/min)=e^(120), int_gap=216.272, pow_l1=3.64377e+09, time=1.37073
iter=66, primal_obj=-354.748, best_primal_obj=-349.847, dual_obj=-204.597, relaxed_primal=-179.079, relaxed_dual=-204.594, grad_l2=0.185106, infea_inf(ratio=max/min)=e^(120), int_gap=211.486, pow_l1=3.64578e+09, time=1.38992
iter=67, primal_obj=-349.652, best_primal_obj=-349.652, dual_obj=-205.02, relaxed_primal=-195.66, relaxed_dual=-205.016, grad_l2=0.191059, infea_inf(ratio=max/min)=e^(120.02), int_gap=213.918, pow_l1=3.64759e+09, time=1.40911
iter=68, primal_obj=-352.283, best_primal_obj=-349.652, dual_obj=-205.272, relaxed_primal=-180.036, relaxed_dual=-205.27, grad_l2=0.184725, infea_inf(ratio=max/min)=e^(120), int_gap=209.744, pow_l1=3.64963e+09, time=1.42829
iter=69, primal_obj=-358.362, best_primal_obj=-349.652, dual_obj=-205.653, relaxed_primal=-196.276, relaxed_dual=-205.65, grad_l2=0.19253, infea_inf(ratio=max/min)=e^(120), int_gap=214.836, pow_l1=3.6514e+09, time=1.44749
iter=70, primal_obj=-356.348, best_primal_obj=-349.652, dual_obj=-205.929, relaxed_primal=-178.126, relaxed_dual=-205.926, grad_l2=0.18607, infea_inf(ratio=max/min)=e^(120), int_gap=212.8, pow_l1=3.65342e+09, time=1.46669
iter=71, primal_obj=-361.093, best_primal_obj=-349.652, dual_obj=-206.33, relaxed_primal=-196.255, relaxed_dual=-206.327, grad_l2=0.192357, infea_inf(ratio=max/min)=e^(120.073), int_gap=222.748, pow_l1=3.6552e+09, time=1.48617
iter=72, primal_obj=-349.021, best_primal_obj=-349.021, dual_obj=-206.551, relaxed_primal=-183.036, relaxed_dual=-206.548, grad_l2=0.186985, infea_inf(ratio=max/min)=e^(120), int_gap=206.91, pow_l1=3.65722e+09, time=1.50537
iter=73, primal_obj=-355.575, best_primal_obj=-349.021, dual_obj=-206.936, relaxed_primal=-195.527, relaxed_dual=-206.932, grad_l2=0.191093, infea_inf(ratio=max/min)=e^(120), int_gap=219.501, pow_l1=3.65903e+09, time=1.52461
iter=74, primal_obj=-348.625, best_primal_obj=-348.625, dual_obj=-207.179, relaxed_primal=-180.291, relaxed_dual=-207.176, grad_l2=0.184873, infea_inf(ratio=max/min)=e^(120), int_gap=200.127, pow_l1=3.66099e+09, time=1.54379
iter=75, primal_obj=-353.25, best_primal_obj=-348.625, dual_obj=-207.58, relaxed_primal=-195.214, relaxed_dual=-207.577, grad_l2=0.189489, infea_inf(ratio=max/min)=e^(120), int_gap=210.293, pow_l1=3.66283e+09, time=1.56299
