reading uai file ../../../data//Segmentation/uai/16_16_s.21.uai
done reading uai file
normalizing #tables=842
prob.avg_domain_size=21
prob.N=1
param.rho=1
param.eta=1
@0: T=226, n=276402, nf=0, m=0, me=26098
iter=145, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.4e-13, d_inf=9.9e-13, gap=7.9e-14, nnz=842(0.0061), time=5.2
iter=150, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=1e-12, gap=3.6e-14, nnz=842(0.0061), time=5.3
iter=155, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.4e-13, d_inf=9.9e-13, gap=8.2e-14, nnz=842(0.0061), time=5.5
iter=160, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=8.4e-13, d_inf=1e-12, gap=6e-14, nnz=842(0.0061), time=5.6
iter=165, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.6e-13, d_inf=1e-12, gap=1.1e-13, nnz=842(0.0061), time=5.8
iter=170, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.5e-13, d_inf=9.9e-13, gap=1.6e-14, nnz=842(0.0061), time=6
iter=175, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.3e-13, d_inf=1e-12, gap=6.4e-14, nnz=842(0.0061), time=6.1
iter=180, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=1e-12, gap=1.6e-14, nnz=842(0.0061), time=6.3
iter=185, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=1e-12, gap=3.5e-14, nnz=842(0.0061), time=6.4
iter=190, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.6e-13, d_inf=1e-12, gap=5.9e-15, nnz=842(0.0061), time=6.6
iter=195, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=9.9e-13, gap=9e-14, nnz=842(0.0061), time=6.8
iter=200, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.8e-13, d_inf=1e-12, gap=8.2e-14, nnz=842(0.0061), time=6.9
iter=205, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=9.9e-13, gap=1.5e-14, nnz=842(0.0061), time=7.1
iter=210, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.9e-13, d_inf=9.9e-13, gap=4e-14, nnz=842(0.0061), time=7.2
iter=215, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=9.9e-13, gap=9e-14, nnz=842(0.0061), time=7.4
iter=220, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.9e-13, d_inf=9.9e-13, gap=2.2e-14, nnz=842(0.0061), time=7.5
iter=225, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.1e-13, d_inf=1e-12, gap=1.5e-14, nnz=842(0.0061), time=7.7
iter=230, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.5e-13, d_inf=9.9e-13, gap=1.4e-13, nnz=842(0.0061), time=7.9
iter=235, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.5e-13, d_inf=1e-12, gap=1.2e-13, nnz=842(0.0061), time=8
iter=240, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.9e-13, d_inf=1e-12, gap=1.4e-13, nnz=842(0.0061), time=8.2
iter=245, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.5e-13, d_inf=1e-12, gap=1.3e-13, nnz=842(0.0061), time=8.3
iter=250, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.7e-13, d_inf=1e-12, gap=7.3e-14, nnz=842(0.0061), time=8.5
