reading loguai file ../../../data//EurLex.loguai
#factors=7544670
reading function tables.........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................done reading loguai file
normalizing #tables=7544670
done normalizing
prob.N=1
param.gamma=1e-06
iter=21, primal_obj=879.925, best_primal_obj=889.373, dual_obj=2656.09, relaxed_primal=2789.92, relaxed_dual=2656.09, grad_l2=0.0549549, infea_inf(ratio=max/min)=e^(120), int_gap=611021, pow_l1=7.60657e+10, time=327.674
iter=22, primal_obj=882.162, best_primal_obj=889.373, dual_obj=2654.4, relaxed_primal=2790.55, relaxed_dual=2654.4, grad_l2=0.0531072, infea_inf(ratio=max/min)=e^(120), int_gap=505429, pow_l1=7.6167e+10, time=339.734
iter=23, primal_obj=860.686, best_primal_obj=889.373, dual_obj=2642.6, relaxed_primal=2768.56, relaxed_dual=2642.6, grad_l2=0.0615062, infea_inf(ratio=max/min)=e^(120), int_gap=715199, pow_l1=7.62518e+10, time=351.282
iter=24, primal_obj=879.265, best_primal_obj=889.373, dual_obj=2641.86, relaxed_primal=2786.09, relaxed_dual=2641.87, grad_l2=0.0594732, infea_inf(ratio=max/min)=e^(120), int_gap=735434, pow_l1=7.63321e+10, time=363.216
iter=25, primal_obj=879.61, best_primal_obj=889.373, dual_obj=2626.81, relaxed_primal=2784.82, relaxed_dual=2626.81, grad_l2=0.0531543, infea_inf(ratio=max/min)=e^(120), int_gap=515013, pow_l1=7.64355e+10, time=375.228
iter=26, primal_obj=871.643, best_primal_obj=889.373, dual_obj=2625.77, relaxed_primal=2776.09, relaxed_dual=2625.77, grad_l2=0.057612, infea_inf(ratio=max/min)=e^(120), int_gap=639119, pow_l1=7.65314e+10, time=387.133
iter=27, primal_obj=870.169, best_primal_obj=889.373, dual_obj=2615.74, relaxed_primal=2772.83, relaxed_dual=2615.75, grad_l2=0.0600333, infea_inf(ratio=max/min)=e^(120), int_gap=720540, pow_l1=7.66115e+10, time=400.266
iter=28, primal_obj=885.201, best_primal_obj=889.373, dual_obj=2610.57, relaxed_primal=2786.78, relaxed_dual=2610.58, grad_l2=0.0536127, infea_inf(ratio=max/min)=e^(120), int_gap=546773, pow_l1=7.67041e+10, time=412.73
iter=29, primal_obj=862.279, best_primal_obj=889.373, dual_obj=2600.81, relaxed_primal=2763.09, relaxed_dual=2600.81, grad_l2=0.0604348, infea_inf(ratio=max/min)=e^(120), int_gap=683310, pow_l1=7.68022e+10, time=424.199
iter=30, primal_obj=885.67, best_primal_obj=889.373, dual_obj=2598.64, relaxed_primal=2784.86, relaxed_dual=2598.64, grad_l2=0.0554979, infea_inf(ratio=max/min)=e^(120), int_gap=645501, pow_l1=7.68836e+10, time=436.326
iter=31, primal_obj=869.754, best_primal_obj=889.373, dual_obj=2584.68, relaxed_primal=2767.7, relaxed_dual=2584.68, grad_l2=0.0563348, infea_inf(ratio=max/min)=e^(120), int_gap=570671, pow_l1=7.69832e+10, time=448.359
iter=32, primal_obj=873.113, best_primal_obj=889.373, dual_obj=2586.48, relaxed_primal=2769.82, relaxed_dual=2586.48, grad_l2=0.0604716, infea_inf(ratio=max/min)=e^(120), int_gap=734496, pow_l1=7.70689e+10, time=460.371
iter=33, primal_obj=880.775, best_primal_obj=889.373, dual_obj=2571.22, relaxed_primal=2776.86, relaxed_dual=2571.23, grad_l2=0.0535313, infea_inf(ratio=max/min)=e^(120), int_gap=573849, pow_l1=7.71588e+10, time=472.39
iter=34, primal_obj=875.858, best_primal_obj=889.373, dual_obj=2570.91, relaxed_primal=2770.69, relaxed_dual=2570.92, grad_l2=0.0557972, infea_inf(ratio=max/min)=e^(120), int_gap=548974, pow_l1=7.72586e+10, time=486.219
iter=35, primal_obj=862.166, best_primal_obj=889.373, dual_obj=2559.86, relaxed_primal=2756.02, relaxed_dual=2559.87, grad_l2=0.0622763, infea_inf(ratio=max/min)=e^(120), int_gap=768011, pow_l1=7.73395e+10, time=499.875
iter=36, primal_obj=882.685, best_primal_obj=889.373, dual_obj=2557.63, relaxed_primal=2775.45, relaxed_dual=2557.63, grad_l2=0.0569456, infea_inf(ratio=max/min)=e^(120), int_gap=681565, pow_l1=7.74279e+10, time=513.465
iter=37, primal_obj=876.001, best_primal_obj=889.373, dual_obj=2544.72, relaxed_primal=2767.63, relaxed_dual=2544.72, grad_l2=0.0535903, infea_inf(ratio=max/min)=e^(120), int_gap=512759, pow_l1=7.75348e+10, time=527.352
iter=38, primal_obj=872.88, best_primal_obj=889.373, dual_obj=2543.91, relaxed_primal=2763.29, relaxed_dual=2543.91, grad_l2=0.0577536, infea_inf(ratio=max/min)=e^(120), int_gap=646563, pow_l1=7.76238e+10, time=539.745
iter=39, primal_obj=867.768, best_primal_obj=889.373, dual_obj=2533.72, relaxed_primal=2757.34, relaxed_dual=2533.72, grad_l2=0.0603977, infea_inf(ratio=max/min)=e^(120), int_gap=724128, pow_l1=7.77064e+10, time=553.29
iter=40, primal_obj=883.775, best_primal_obj=889.373, dual_obj=2530.05, relaxed_primal=2771.63, relaxed_dual=2530.05, grad_l2=0.0548777, infea_inf(ratio=max/min)=e^(120), int_gap=575777, pow_l1=7.77999e+10, time=567.767
iter=41, primal_obj=864.612, best_primal_obj=889.373, dual_obj=2518.96, relaxed_primal=2751.68, relaxed_dual=2518.96, grad_l2=0.0592125, infea_inf(ratio=max/min)=e^(120), int_gap=664260, pow_l1=7.78995e+10, time=580.758
iter=42, primal_obj=883.672, best_primal_obj=889.373, dual_obj=2518.89, relaxed_primal=2769.09, relaxed_dual=2518.89, grad_l2=0.0559215, infea_inf(ratio=max/min)=e^(120), int_gap=649995, pow_l1=7.79842e+10, time=594.349
iter=43, primal_obj=870.929, best_primal_obj=889.373, dual_obj=2504.36, relaxed_primal=2755.43, relaxed_dual=2504.36, grad_l2=0.0556348, infea_inf(ratio=max/min)=e^(120), int_gap=547926, pow_l1=7.80836e+10, time=607.492
iter=44, primal_obj=867.746, best_primal_obj=889.373, dual_obj=2506.53, relaxed_primal=2751.46, relaxed_dual=2506.53, grad_l2=0.0620852, infea_inf(ratio=max/min)=e^(120), int_gap=756276, pow_l1=7.81709e+10, time=620.987
iter=45, primal_obj=878.545, best_primal_obj=889.373, dual_obj=2493.17, relaxed_primal=2761.08, relaxed_dual=2493.17, grad_l2=0.0561966, infea_inf(ratio=max/min)=e^(120), int_gap=654512, pow_l1=7.82592e+10, time=634.005
iter=46, primal_obj=880.258, best_primal_obj=889.373, dual_obj=2490.21, relaxed_primal=2761.18, relaxed_dual=2490.22, grad_l2=0.0533871, infea_inf(ratio=max/min)=e^(120), int_gap=510869, pow_l1=7.83652e+10, time=647.933
