reading model...done
reading test data...done
2.81522
prob.D=5001
prob.K=3884
prob.N=1
param.rho=0.25
param.eta=0.1
iter=17, decoded_t=700.99, best_decoded=700.99, dinf=0.0819522, p_inf=0.778582, acc=0.997544, uni_act_size=9, area1=0, area23=0, area4=0, bi_act_size=57, bi_ever_nnz_msg=0, uni_search=0.000123479, uni_subsolve=6.42529e-05, bi_search=1.6762e-05, bi_subsolve=0.000171878, maintain=4.70749e-05, construct=0, overall time=4.75905
iter=18, decoded_t=713.027, best_decoded=713.027, dinf=0.0819337, p_inf=0.776428, acc=0.99732, uni_act_size=9.5, area1=0, area23=0, area4=0, bi_act_size=63.3333, bi_ever_nnz_msg=0, uni_search=0.000131231, uni_subsolve=6.84428e-05, bi_search=1.76e-05, bi_subsolve=0.000197091, maintain=5.30119e-05, construct=0, overall time=4.80636
iter=19, decoded_t=722.32, best_decoded=722.32, dinf=0.0817704, p_inf=0.767901, acc=0.997097, uni_act_size=10, area1=0, area23=0, area4=0, bi_act_size=70, bi_ever_nnz_msg=0, uni_search=0.000138913, uni_subsolve=7.31219e-05, bi_search=1.8438e-05, bi_subsolve=0.00022419, maintain=5.9787e-05, construct=0, overall time=4.85388
iter=20, decoded_t=731.397, best_decoded=731.397, dinf=0.0817583, p_inf=0.754809, acc=0.996874, uni_act_size=10.5, area1=0, area23=0, area4=0, bi_act_size=77, bi_ever_nnz_msg=0, uni_search=0.000146665, uni_subsolve=7.77309e-05, bi_search=1.9137e-05, bi_subsolve=0.000253454, maintain=6.7051e-05, construct=0, overall time=4.90122
iter=21, decoded_t=738.862, best_decoded=738.862, dinf=0.0817098, p_inf=0.738619, acc=0.99665, uni_act_size=11, area1=0, area23=0, area4=0, bi_act_size=84.3333, bi_ever_nnz_msg=0, uni_search=0.000154906, uni_subsolve=8.47149e-05, bi_search=1.9905e-05, bi_subsolve=0.000288444, maintain=7.50819e-05, construct=0, overall time=4.94869
iter=22, decoded_t=745.277, best_decoded=745.277, dinf=0.107271, p_inf=0.720511, acc=0.996427, uni_act_size=11.5, area1=0, area23=0, area4=0, bi_act_size=92, bi_ever_nnz_msg=0, uni_search=0.000163496, uni_subsolve=9.00929e-05, bi_search=2.06041e-05, bi_subsolve=0.000323574, maintain=8.38829e-05, construct=0, overall time=4.99628
iter=23, decoded_t=752.053, best_decoded=752.053, dinf=0.081646, p_inf=0.701418, acc=0.996204, uni_act_size=12, area1=0, area23=0, area4=0, bi_act_size=100, bi_ever_nnz_msg=0, uni_search=0.000172226, uni_subsolve=0.000101477, bi_search=2.13031e-05, bi_subsolve=0.000364082, maintain=9.2822e-05, construct=0, overall time=5.04366
iter=24, decoded_t=758.294, best_decoded=758.294, dinf=0.0815981, p_inf=0.682062, acc=0.99598, uni_act_size=12.5, area1=0, area23=0, area4=0, bi_act_size=108.333, bi_ever_nnz_msg=0, uni_search=0.000181235, uni_subsolve=0.000108741, bi_search=2.2141e-05, bi_subsolve=0.000405498, maintain=0.000103299, construct=0, overall time=5.09091
iter=25, decoded_t=764.567, best_decoded=764.567, dinf=0.097063, p_inf=0.720543, acc=0.995757, uni_act_size=13, area1=0, area23=0, area4=0, bi_act_size=117, bi_ever_nnz_msg=0, uni_search=0.000190733, uni_subsolve=0.000113909, bi_search=2.2839e-05, bi_subsolve=0.000450406, maintain=0.000114405, construct=0, overall time=5.13788
iter=26, decoded_t=770.201, best_decoded=770.201, dinf=0.0970349, p_inf=0.761008, acc=0.995534, uni_act_size=13.5, area1=0, area23=0, area4=0, bi_act_size=126, bi_ever_nnz_msg=0, uni_search=0.000200651, uni_subsolve=0.000119636, bi_search=2.3677e-05, bi_subsolve=0.000499924, maintain=0.000125859, construct=0, overall time=5.18482
iter=27, decoded_t=775.477, best_decoded=775.477, dinf=0.0815375, p_inf=0.782418, acc=0.99531, uni_act_size=14, area1=0, area23=0, area4=0, bi_act_size=135.333, bi_ever_nnz_msg=0, uni_search=0.000210778, uni_subsolve=0.000125642, bi_search=2.44449e-05, bi_subsolve=0.000550279, maintain=0.000137871, construct=0, overall time=5.2324
iter=28, decoded_t=780.526, best_decoded=780.526, dinf=0.0815139, p_inf=0.788384, acc=0.995087, uni_act_size=14.5, area1=0, area23=0, area4=0, bi_act_size=145, bi_ever_nnz_msg=0, uni_search=0.000220975, uni_subsolve=0.000131927, bi_search=2.52129e-05, bi_subsolve=0.000604266, maintain=0.000151629, construct=0, overall time=5.28
iter=29, decoded_t=785.459, best_decoded=785.459, dinf=0.0814922, p_inf=0.781972, acc=0.994864, uni_act_size=15, area1=0, area23=0, area4=0, bi_act_size=155, bi_ever_nnz_msg=0, uni_search=0.000231171, uni_subsolve=0.000137514, bi_search=2.61909e-05, bi_subsolve=0.000661257, maintain=0.000166155, construct=0, overall time=5.32743
iter=30, decoded_t=790.516, best_decoded=790.516, dinf=0.0814309, p_inf=0.765774, acc=0.99464, uni_act_size=15.5, area1=0, area23=0, area4=0, bi_act_size=165.333, bi_ever_nnz_msg=0, uni_search=0.000241997, uni_subsolve=0.0001438, bi_search=2.68889e-05, bi_subsolve=0.00072153, maintain=0.000181311, construct=0, overall time=5.37524
iter=31, decoded_t=795.529, best_decoded=795.529, dinf=0.0814118, p_inf=0.741963, acc=0.994417, uni_act_size=16, area1=0, area23=0, area4=0, bi_act_size=176, bi_ever_nnz_msg=0, uni_search=0.000253731, uni_subsolve=0.000153019, bi_search=2.75879e-05, bi_subsolve=0.00078774, maintain=0.000198492, construct=0, overall time=5.42264
iter=32, decoded_t=800.079, best_decoded=800.079, dinf=0.0814118, p_inf=0.712355, acc=0.994194, uni_act_size=16.5, area1=0, area23=0, area4=0, bi_act_size=187, bi_ever_nnz_msg=0, uni_search=0.000264905, uni_subsolve=0.000176206, bi_search=2.8286e-05, bi_subsolve=0.000856743, maintain=0.000215673, construct=0, overall time=5.4704
iter=33, decoded_t=803.661, best_decoded=803.661, dinf=0.155773, p_inf=0.678456, acc=0.993971, uni_act_size=17, area1=0, area23=0, area4=0, bi_act_size=198.333, bi_ever_nnz_msg=0, uni_search=0.000278314, uni_subsolve=0.000184936, bi_search=2.90549e-05, bi_subsolve=0.000954032, maintain=0.000235577, construct=0, overall time=5.51792
iter=34, decoded_t=801.095, best_decoded=803.661, dinf=0.174653, p_inf=0.872489, acc=0.993747, uni_act_size=17.5, area1=0, area23=0, area4=0, bi_act_size=210, bi_ever_nnz_msg=0, uni_search=0.000290746, uni_subsolve=0.000193946, bi_search=2.98229e-05, bi_subsolve=0.00103302, maintain=0.0002559, construct=0, overall time=5.56526
iter=35, decoded_t=804.316, best_decoded=804.316, dinf=0.684995, p_inf=0.974375, acc=0.993524, uni_act_size=18, area1=0, area23=0, area4=0, bi_act_size=222, bi_ever_nnz_msg=0, uni_search=0.000303597, uni_subsolve=0.000203304, bi_search=3.05909e-05, bi_subsolve=0.00111495, maintain=0.00027755, construct=0, overall time=5.61323
iter=36, decoded_t=808.322, best_decoded=808.322, dinf=0.555434, p_inf=1, acc=0.993314, uni_act_size=18.5, area1=0, area23=0, area4=0, bi_act_size=234.333, bi_ever_nnz_msg=0, uni_search=0.000316867, uni_subsolve=0.000210917, bi_search=3.14289e-05, bi_subsolve=0.00119938, maintain=0.000300598, construct=0, overall time=5.66104
iter=37, decoded_t=812.159, best_decoded=812.159, dinf=0.427051, p_inf=1, acc=0.993103, uni_act_size=19, area1=0, area23=0, area4=0, bi_act_size=247, bi_ever_nnz_msg=0, uni_search=0.000330277, uni_subsolve=0.000219159, bi_search=3.21279e-05, bi_subsolve=0.00128696, maintain=0.000324483, construct=0, overall time=5.70913
iter=38, decoded_t=815.955, best_decoded=815.955, dinf=0.371464, p_inf=1, acc=0.992887, uni_act_size=19.5, area1=0, area23=0, area4=0, bi_act_size=260, bi_ever_nnz_msg=0, uni_search=0.000344106, uni_subsolve=0.000230125, bi_search=3.29659e-05, bi_subsolve=0.00138181, maintain=0.000350184, construct=0, overall time=5.75652
iter=39, decoded_t=819.616, best_decoded=819.616, dinf=0.342053, p_inf=1, acc=0.992671, uni_act_size=20, area1=0, area23=0, area4=0, bi_act_size=273.333, bi_ever_nnz_msg=0, uni_search=0.000358633, uni_subsolve=0.00024088, bi_search=3.38738e-05, bi_subsolve=0.00148364, maintain=0.000377563, construct=0, overall time=5.80407
